scenario_id,flow,previous_audit_status,current_verified_status,closure_status,source_evidence,test_evidence,postgres_evidence,browser_evidence,remaining_gap,finding_id,notes
"B-015","CREATE","MAIN_PARTIAL","GAP_CONFIRMED","STILL_OPEN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate in-scope follow-up acceptance test required","GL-FU-STATION-OWNERSHIP","Unknown station UUID semantics"
"B-016","CREATE","NOT_IMPLEMENTED","GAP_CONFIRMED","STILL_OPEN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate in-scope follow-up acceptance test required","GL-FU-STATION-OWNERSHIP","Unavailable court/time conflict"
"B-017","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Double-click same create intent"
"B-018","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Network timeout then same create retry"
"B-019","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Same key same create payload"
"B-020","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Same key different create payload"
"B-021","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Local transaction failure before commit"
"B-022","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Outbox publish delay after free create"
"B-023","CREATE","PENDING_PR","VERIFIED_SOURCE","CLOSED_MAIN","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Exact-head CI and real browser freeze remain","","Projection lag after free create"
"B-024","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Paid create pay self only"
"B-025","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Organizer pays all"
"B-026","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Split-payment create"
"B-027","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Subscription-backed create"
"B-028","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Discounted additional game create"
"B-029","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Additional duration create"
"B-030","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Create from existing provider booking"
"B-031","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Create with new provider booking"
"B-032","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Provider reject on create"
"B-033","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Provider timeout before response"
"B-034","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Provider ambiguous timeout after possible commit"
"B-035","CREATE","NOT_IMPLEMENTED","VERIFIED_FAIL_CLOSED","CLOSED_UNSUPPORTED","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","Separate compensated/provider design required before support","GL-P0-01","Local failure after provider commit"
"B-036","CREATE","NOT_IMPLEMENTED","BLOCKED_SAFE_MODEL","BLOCKED_PRODUCT_DECISION","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","See follow-up-findings.md","GL-FU-CREATE-OWNERSHIP","Community game create"
"B-037","CREATE","LEGACY_ACTIVE","BLOCKED_SAFE_MODEL","BLOCKED_PRODUCT_DECISION","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","See follow-up-findings.md","GL-FU-CREATE-OWNERSHIP","Trainer/coach game create"
"B-038","CREATE","LEGACY_ACTIVE","BLOCKED_SAFE_MODEL","BLOCKED_PRODUCT_DECISION","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","See follow-up-findings.md","GL-FU-CREATE-OWNERSHIP","Tournament-generated game create"
"B-039","CREATE","NOT_IMPLEMENTED","BLOCKED_SAFE_MODEL","BLOCKED_PRODUCT_DECISION","apps/api/src/games/game-routes.ts; packages/database/src/game-repository.ts; apps/web/src/CreateGamePage.tsx","game-routes.test.ts; game-repository.test.ts; CreateGamePage.test.tsx","Partial physical PG16 evidence in game-create-recovery-postgres.test.ts; see postgres-evidence.md","PARTIAL_REAL_BROWSER_EVIDENCE; full two-user waitlist browser gap remains","See follow-up-findings.md","GL-FU-CREATE-OWNERSHIP","Admin-created game in lk2"
